"","text","word_scores","compound","pos","neu","neg","but_count","positive","negative","neutral","assigned"
"443","My husband &amp; I are 1B &amp; cant get vaxxed. Frontline HCWs are also still waiting. I want our children protected. But this story highlights the inequity of the Morrison vaccine rollout. St. Josephs is a wealthy, private college. Vaxxes for mates. #auspol  ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.15, 0, 0, 0.95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25, 0, 0, 0, 0, 0, 0}",0.654,0.137,0.863,0,1,1,0,0,"Positive"
"444","How does this work? Children of the rich get the premium  Pfizer vaccine, when weve got 60-65 year olds rationed out. Why didnt they give them AZ? ","{0, 0, 0, 0, 0, 0, 0, 2.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.607,0.132,0.868,0,0,1,0,0,"Positive"
"445"," ( ) allowed about 160 year 12 students at St Josephs College at Hunters Hill to be inoculated against COVID-19 with the Pfizer vaccine, even though the program has only officially been rolled out to people aged 40 and above.#auspol ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"446","My 70+ year old Mother has not been able to get the Pfzier vaccine and yet 160 x 18~ year olds at a private school have. Dont tell me that #privilege doesnt play a role. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, -1.036, 0, 0}",0.119,0.067,0.879,0.054,0,0.553719008264463,0.446280991735537,0,"Positive"
"447","Year 12 students at St Josephs College - a private school in Hunters Hill - given Pfizer vaccination, even though the vaccine has only officially been rolled out to people aged 40 and above. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"448","  Did your employer require that you get the vaccine to keep your job? That is illegal infringement of your rights. Some colleges are requiring vaccine, but their rationale is,  Well, you could always go someplace else; you dont have to come to this college.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3, -1.05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.178,0.054,0.857,0.089,1,0.377622377622378,0.622377622377622,0,"Negative"
"449","Punjab: All eligible college students, staffers to get first jab of Covid-19 vaccine in July ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"450"," Im Gen X but somehow never got chickenpox as a kid (neither did my brother). I got the vaccine in college after it became available.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,1,NA,NA,1,"Neutral"
"451","Vaccine appointments are available atWalgreens/Duane Reade (Moderna)14-01 College Point Boulevard, Queens, NY, 11356(800) 925-4733","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"452","Sometimes I keep myself awake at night thinking about these 19yo college students ruling the world.Then I realized that most of them took the vaccine. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"453"," I dont hear college kids complaining about having to get vaccine. You had to have vaccines to attend grammar school. So shut up and do it and save your own life in the process","{0, 0, 0, 0, 0, 0, -0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2, 0, 0, 0, 0, 0, 0}",0.34,0.084,0.868,0.047,0,0.641221374045802,0.358778625954198,0,"Positive"
"454","If we are vaccinated then gov should also give permission to common people for travelling in local train. Whats the purpose of vaccine ? Now admission will start for college how should we travel for our work.     ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"455","      Do whites get free points on thr SAT so they can get into college?","{0, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.511,0.191,0.809,0,0,1,0,0,"Positive"
"456","Missouri University offering discounted tuition or free college for those getting a vaccine and more!! #Missouri    #retweet   ","{0, 0, 0, 0.2, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.623,0.253,0.747,0,0,1,0,0,"Positive"
"457"," Go to college? Take statistics class? I did. It aint 6. Eric Claptons is rich, took that shit and thought hed never play guitar again. My poor ass would be doomed if I took that shit. 3. It takes the FDA 3-5 years to approve a vaccine. Last I checked thats longer than 4 months","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6, 0, 0, -2.6, 0, 0, 0, 0, -1.036, 0, 0, 0, -2.1, -2.5, 0, 0, -3.2, 0, 0, 0, 0, -2.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.95,0.049,0.671,0.279,0,0.149390243902439,0.850609756097561,0,"Negative"
"458","Rep. Greene Slams Rep. Bush for Racist Tweet on Independence DayHow College CVD Vaccine Mandates Put Students In DangerThe Bipartisan Consensus on China Isnt EnoughThe Biden Tax Cartel  Wider Still and Wider . . .","{0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.612,0,0.895,0.105,0,0,1,0,"Negative"
"459","forcing someone to get the vaccine to go back to college just doesnt sit right w. Me","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"460","Always-wrong Randi confirms it for anyone who was still in doubt.  Listen to the real experts with the real data instead.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.361,0,0.889,0.111,0,0,1,0,"Negative"
"461","I will never understand when so many became antiscience? Again I ask. Do you people ban your kids from science class or not pay for any science classes they need for college? Science is not political. You do all know DJT got the vaccine and lied to you about COVID-19 right? ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.6, 0, 0, 0, 0, 0, 0, 0, 0.296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, 0, 0, 0}",-0.754,0.023,0.857,0.12,0,0.160839160839161,0.839160839160839,0,"Negative"
"462","Humber College, UoGH Lobby in Etobicoke [Peel health unit]206 1st dose spots addedFirst available date is 2021-07-06Book at ","{0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.026,0.061,0.939,0,0,1,0,0,"Positive"
"463","Punjab plans to launch a special initiative under which all students aged above 18, and staff  both administrative and academic  of colleges, will be administered the #COVID19 vaccine","{0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.402,0.091,0.909,0,0,1,0,0,"Positive"
"464","South Suburban Colleges drive-thru site for COVID-19 testing now is offering the one-dose Johnson &amp; Johnson vaccine for anyone 18 and older. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"465","  This is why they could never form a vaccine for the common cold (which is a corona virus) was taught this in undergraduate classes in college. Yet, the woke/media/tech/bug pharm seem to be painfully absentminded of such knowledge. Its a grift. Its gaslighting.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.4, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.527,0,0.927,0.073,0,0,1,0,"Negative"
"466","     Hi its literally not more dangerous to get the vaccine for young people. As a young person who\s gotten the vaccine, who\s had many many young friends and family get the vaccine. Some of the covid variants have killed a ton of college aged kids. The vaccine hasn\t.","{0, 0, 0, 0, 0, 0, 1.77082, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.5, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.095,0.104,0.816,0.08,0,0.565217391304348,0.434782608695652,0,"Positive"
"467","Centennial College, Progress Campus in Scarborough [Toronto health unit]410 1st dose spots addedFirst available date is 2021-07-05Book at ","{0, 0, 1.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.421,0.141,0.859,0,0,1,0,0,"Positive"
"468","    Covid vaccine already being required to go to college and go to work so I dont get his point at all lmao.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45}",0.535,0.136,0.864,0,0,1,0,0,"Positive"
"469","Jude Diggins, director, Royal College of Nursing, This disease does not disappear on 19 July. No available vaccine is 100% effective  Public mask-wearing is straightforward and well-established  government will regret the day it sent the wrong signal for political expediency.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.666, 0, 0, 0, -1.2, 0, 0, 0, 0, 2.1, 0, 0, 0, 0, 0, 0, 0, 0, -1.8, 0, 0, 0, 0, 0, -2.1, 0, 0, 0, 0}",-0.516,0.1,0.731,0.169,0,0.371747211895911,0.628252788104089,0,"Negative"
"470","  Trumps not the one pushing the vaccine on children over 12, healthy college kids, and those who have had the virus so they have superior immunity. The virus undoubtedly has helped many over 40, obese, or have another condition. Trump would have pushed as a choice.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.755,0.126,0.874,0,0,1,0,0,"Positive"
"471","   How College COVID Vaccine Mandates Put Students In Danger ","{0, 0, 0, 0, 0, 0, 0, 0, 0, -2.4}",-0.527,0,0.726,0.274,0,0,1,0,"Negative"
"472"," I got shingles in college! Right when I started seeing those shingles vaccine commercials on TV  I went a while thinking that I just got bad reaction to some plants while camping.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.5, 0, 0, 0, 0, 0, 0}",-0.585,0,0.894,0.106,0,0,1,0,"Negative"
"473","Udupi MGM college. All NSUI member students have declined to be vaccinated. The Principal has taken a call, no vaccine certification, no permission to appear for exams (COVID recovery cases excluded from compulsory vaccination).How one idiot Khandi is playing with young lives","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, 0, 0, -2.3, 0, 0, 0.8, 0, 0, 0}",-0.807,0.037,0.757,0.207,0,0.151639344262295,0.848360655737705,0,"Negative"
"474","How College COVID Vaccine Mandates Put Students In Danger - none of the schools whose published criteria we have examined include the most elementary medical ground of all: natural immunity from a previous COVID infection   ","{0, 0, 0, 0, 0, 0, 0, 0, -2.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0, 0, 0}",-0.226,0.064,0.848,0.087,0,0.423841059602649,0.576158940397351,0,"Negative"
"475","Fighting Stigma: Coronavirus could be with us for many years, says vaccine creator: Prof Mary Horgan, president of the Royal College of Physicians in Ireland and infectious disease consultant, said that public health has been under... ","{-1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.361,0,0.933,0.067,0,0,1,0,"Negative"
"476","Imperial on the winter exit wave that Whitty cited: delaying step 4 also affords the opportunity to further increase population-level vaccine protection - for example through booster doses or vaccinating children under 18 years. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8, 0, 0, 1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.625,0.137,0.863,0,0,1,0,0,"Positive"
"477","In NY theyve been bribing people with cheeseburgers, Yankee tickets and free college. If someone doesnt want the vaccine, leave the free American alone! ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0, -0.222, 0, 0, -0.2, 0, 2.3, 0, -1}",0.667,0.227,0.627,0.146,0,0.60857908847185,0.39142091152815,0,"Positive"
"478"," In NY theyve been bribing people with cheeseburgers, Yankee tickets and free college. It someone doesnt want the vaccine, leave the free American alone!","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0, -0.222, 0, 0, -0.2, 0, 2.3, 0, -1}",0.667,0.22,0.639,0.141,0,0.609418282548477,0.390581717451524,0,"Positive"
"479"," Also, fired my veterinarian because the in-my-face vet tech refused to mask or get a vaccine. She was wearing a stupid shield and they let her. Apparently, her 6 month community college certificate makes her smarter than scientists, physicians and epidemiologists.","{0, 0, -2.6, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0}",-0.735,0.06,0.757,0.183,0,0.246913580246914,0.753086419753086,0,"Negative"
"480"," Im sure this feels good to say but its not particularly helpful. My college-educated mom would laugh at flat earthers but believes theres enough reason to delay getting a vaccine until its better understood. Were not going to shame people like her into changing their minds.","{0, 0, 0.65, 0, 0, 0.95, 0, 0, 0, 0, 0, 0, -2.32323, 0, 0, 0, 0, 3.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.95, 0, 0, 0, 0, 0, 2.85, 0, 0, 0, 0, 0, 2.331, 0, 2.25, 0, 0, 0, 0, 0}",0.913,0.295,0.607,0.098,2,0.750636132315522,0.249363867684478,0,"Positive"
"481"," College students can always jump on your Insurrection Express Bus vaccine free. What a patriot! ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0}",0.556,0.193,0.807,0,0,1,0,0,"Positive"
"482","Excellent article by high profile medical professionals about why COVID vaccines should NOT be mandated by universities.  Just the science alone in this article is worth the read.  ","{2.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0.9, 0, 0}",0.557,0.172,0.767,0.061,0,0.738197424892704,0.261802575107296,0,"Positive"
"483"," But if kids are going to college theyve already paid for it and if they dont get the vaccine the college will tell them hey you cant come. Most colleges are doing that which is not right.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,1,NA,NA,1,"Neutral"
"484"," /1.. I keep watching these and they are extremely informative...but as a practical matter how can they help me? I have two college age sons in VA who have had covid, and who are now under threat of mandate by their universities to take the vaccine. Would be..","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.153,0.071,0.865,0.064,0,0.525925925925926,0.474074074074074,0,"Positive"
"485","  new appointments are now available. Loyalist College: ","{0, 0, 0, 0, 0, 0, 1.5, 0}",0.361,0.263,0.737,0,0,1,0,0,"Positive"
"486","How College COVID Vaccine Mandates Put Students In DangerREAD: ","{0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"487","We all came together last week to record a message as part of  COVID19 College Vaccine Challenge, an initiative by the    and . #VaccinesWork  ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0, 0, 0, 0, 0, 0}",0.077,0.053,0.947,0,0,1,0,0,"Positive"
"488","WCH and  are proud to announce funding from  for the launch of a new vaccine engagement strategy targeting non-physician healthcare workers: ","{0, 0, 0, 2.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0}",0.727,0.243,0.757,0,0,1,0,0,"Positive"
"489","How College COVID Vaccine Mandates Put Students In Danger...The excessively narrow medical exemptions for COVID vaccine mandates at many colleges put students at unnecessary risk of serious complications, including hospitalization and death. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.1, 0, -0.3, 0, 0, 0, 0, -2.9}",-0.743,0,0.799,0.201,0,0,1,0,"Negative"
"490","How College COVID Vaccine Mandates Put Students In Danger - The Federalist","{0, 0, 0, 0, 0, 0, 0, 0, -2.4, 0, 0, 0}",-0.527,0,0.764,0.236,0,0,1,0,"Negative"
"491"," Hallo, please find the unroll here: 1/ How College COVID Vaccine Mandates Put Students In Danger: The ","{0, 0, 1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.4, 0}",-0.273,0.106,0.737,0.157,0,0.403041825095057,0.596958174904943,0,"Negative"
"492","Even Meghalaya govt. is deciding to reopen colleges and matter have been accorded TOPMOST PRIORITY. They are asking all college Principals to collect vaccine certificate of students and othet staffs. What about us?   ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.026,0.033,0.967,0,0,1,0,0,"Positive"
"493","i get my second vaccine shot the 8th and i have a college tour the 10th . praying that i dont pass out","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0, 0}",0.361,0.102,0.898,0,0,1,0,0,"Positive"
"494","  Also every college is adding it to mandatory vaccine list for students. So no military,  no high education. I would say theres always McDonalds,  but Im sure most private will also require it.","{0, 0, 0, 0, 0, 0, 0, 0, 0.15, 0, 0, 0, 0, 0, 0.1465, 0, 0.57585, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95, 0, 0, 0, 0, 0, 0}",0.589,0.185,0.815,0,1,1,0,0,"Positive"
"495","     Im aware, but completely healthy skeptics who wont get the vaccine for... reasons only hurt the populace. In college I worked with the elderly, most of them cant get the vaccine for legitimate reasons. Therefore it is the obligation of those who are healthy enough to get it.","{0, 0, 0, 0, 0, 2.9895, -1.017525, 0, 0, 0, 0, 0, 0, 0, 0, -3.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55, 0, 0, 0, 0}",0.232,0.127,0.761,0.112,1,0.531380753138075,0.468619246861925,0,"Positive"
"496","A Covid-19 vaccine site is open today at Oxnard College, 3250 S Rose Ave., Oxnard, 93033. Monday, July 5 12:00 pm -7:30 pm Vaccine: Pfizer and Janssen. No appointment needed. Available for anyone 12 or older. #COVIDVaccination #venturacounty ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.296,0,0.944,0.056,0,0,1,0,"Negative"
"497","Going to write KIDS CAN\T GET THE VACCINE. KIDS CAN\T GET THE VACCINE. KIDS CAN\T GET THE VACCINE. KIDS CAN\T GET THE VACCINE. KIDS CAN\T GET THE VACCINE. x10 on my college essay and get into Stanford","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"498","A number of US colleges that led the Eugenics field 90 years ago are now leading mandatory vaccination.They similarly lack a scientific basis but follow popular myth in guise of science.They need help to back down ","{0, 0.15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.15, 0, 0, -0.65, 0, 0, 0, 0, 0, 2.7, 0, 0, 0, 0, 0, 0, 2.55, 0, 0, 0}",0.785,0.226,0.735,0.039,1,0.852830188679245,0.147169811320755,0,"Positive"
"499","When Covid-19 cases are soaring across the UK, we must not lose the benefits of a successful vaccine programme to rash decisions. Read our full response to the Govt\s latest #Covid19UK announcement. #safestaffingsaveslives","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.258, 0, -1.184, 0, 0, 2.8, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.29,0.152,0.726,0.122,0,0.554744525547445,0.445255474452555,0,"Positive"
"500","#reopencoaching #reopenkotacoaching #Reopencolleges #reopencollege #reopenschool PLEASE OPEN COLLEGE INSTITUTE WITH VACCINE CERTIFICATE. ","{0, 0, 0, 0, 0, 2.033, 0, 0, 0, 0, 0, 0}",0.465,0.216,0.784,0,0,1,0,0,"Positive"
"501","  Please provide open the college with vaccination as in agriculture practical is important please give permission to Birsa agriculture university with vaccine certificate","{0, 1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8, 1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.66,0.234,0.766,0,0,1,0,0,"Positive"
"502"," Just look at how UNH rewarded Sir Andrew Witty with the big job...Andrew Witty Optum Guy appointed to Imperial College Business School in London chairmanship of Advisory Board -owns 5 NHS trusts! ","{0, 0, 0, 0, 0, 0, 2.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1}",0.764,0.175,0.825,0,0,1,0,0,"Positive"
"503","1/ How College COVID Vaccine Mandates Put Students In Danger: The excessively narrow medical exemptions for COVID vaccine mandates at many colleges put students at unnecessary risk of serious complications, including hospitalization and death. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, -2.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.1, 0, -0.3, 0, 0, 0, 0, -2.9}",-0.866,0,0.737,0.263,0,0,1,0,"Negative"
"504","  no stats on deaths from vaccine or the adverse effects. On the Zoe Kings College app lots of people reporting side effects, serious enough not to their 2nd jab","{0, -1.2, 0, 0, 0, 0, 0, 0, 0, -1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.3, 0, 0, 0, 0, 0, 0}",-0.612,0,0.818,0.182,0,0,1,0,"Negative"
"505","Sir, First Vaccine After College Exam ","{0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"506","If you had Covid19 why mandate the vaccine, its lunacy! How College COVID Vaccine Mandates Put Students In Danger ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.4}",-0.571,0,0.83,0.17,0,0,1,0,"Negative"
"507",": Vaccination centers for 18-44 age group: 1. GOVT.JUNIOR COLLEGE KACHIGUDA (Amberpet) - Pin: 500027Vaccine: COVAXIN. Cost: Free Total 1800 slots are available on Jul 06 (Dose1: 1800, Dose2: 0) CoWin: ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.511,0.099,0.901,0,0,1,0,0,"Positive"
"508",": Vaccination centers for 18-44 age group: 1. Wesely Degree College Campus (Secunderabad) - Pin: 500003Vaccine: COVAXIN. Cost: Free Total 1800 slots are available on Jul 06 (Dose1: 1800, Dose2: 0) CoWin: ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.511,0.096,0.904,0,0,1,0,0,"Positive"
"509",": Vaccination centers for 18-44 age group: 1. Mumtaz College Akberbagh (Saidabad) - Pin: 500059Vaccine: COVAXIN. Cost: Free Total 300 slots are available on Jul 06 (Dose1: 300, Dose2: 0) CoWin: ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.511,0.099,0.901,0,0,1,0,0,"Positive"
"510",": Vaccination centers for 18-44 age group: 1. Chanchalguda Govt Jr. College (Charminar) - Pin: 500036Vaccine: COVAXIN. Cost: Free Total 800 slots are available on Jul 06 (Dose1: 800, Dose2: 0) CoWin: ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.511,0.096,0.904,0,0,1,0,0,"Positive"
"511","None of the current vaccines have passed fertility, teratogenicity, or mutagenicity testing, thus may be contraindicated in women of childbearing potential or those about to become pregnant. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"512","finishing college tomorrow and celebrating w my second vaccine ","{0, 0, 0, 0, 2.7, 0, 0, 0, 0}",0.572,0.316,0.684,0,0,1,0,0,"Positive"
"513","The entire first year medical school class at the College of Medicine in Phoenix has been exposed to COVID19. They have all received an email telling them this. The email only  suggests masking and vaccine because their university has been banned from public health measures.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0}",-0.511,0,0.909,0.091,0,0,1,0,"Negative"
